"REF_DATE","GEO","DGUID","Seasonal adjustment","Levels of government","Estimates","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-profit institutions serving households","Dollars","81","millions","6","v62425547","1.1.1.58","0","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-profit institutions serving households","Dollars","81","millions","6","v62425547","1.1.1.58","0","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-profit institutions serving households","Dollars","81","millions","6","v62425547","1.1.1.58","0","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-profit institutions serving households","Dollars","81","millions","6","v62425547","1.1.1.58","0","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From business","Dollars","81","millions","6","v62425548","1.1.1.59","0","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From business","Dollars","81","millions","6","v62425548","1.1.1.59","0","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From business","Dollars","81","millions","6","v62425548","1.1.1.59","0","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From business","Dollars","81","millions","6","v62425548","1.1.1.59","0","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From business","Dollars","81","millions","6","v62425548","1.1.1.59","0","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-residents","Dollars","81","millions","6","v62425549","1.1.1.68","0","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-residents","Dollars","81","millions","6","v62425549","1.1.1.68","0","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-residents","Dollars","81","millions","6","v62425549","1.1.1.68","0","","","","0"
"2021-01","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-residents","Dollars","81","millions","6","v62425549","1.1.1.68","0","","","","0"
"2021-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","From non-residents","Dollars","81","millions","6","v62425549","1.1.1.68","0","","","","0"
"2020-04","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments expenditure","Dollars","81","millions","6","v62425550","1.1.1.69","1318716","","","","0"
"2020-07","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments expenditure","Dollars","81","millions","6","v62425550","1.1.1.69","1183420","","","","0"
"2020-10","Canada","2016A000011124","Seasonally adjusted at annual rates","General governments","General governments expenditure","Dollars","81","millions","6","v62425550","1.1.1.69","1102240","","","","0"
